Player,Pos,Squad,Min,90s,Fls,Fld,Int,TklW,CrdY,CrdR,PrimaryPos,FoulsPer90,BallWinningPer90
Johan Vásquez,DF,mx Mexico,360,4.0,0,2,2,1,1,0,DF,0.0,0.75
Davinson Sánchez,DF,co Colombia,480,5.3,6,5,6,2,1,0,DF,1.1320754716981132,1.509433962264151
Rafik Belghali,DF,dz Algeria,331,3.7,4,2,1,3,0,0,DF,1.081081081081081,1.081081081081081
Yazan Al-Arab,DF,jo Jordan,270,3.0,4,0,11,1,1,0,DF,1.3333333333333333,4.0
Jan Paul van Hecke,DF,nl Netherlands,390,4.3,4,2,4,3,0,0,DF,0.9302325581395349,1.627906976744186
Chancel Mbemba,DF,cd Congo DR,360,4.0,1,3,1,3,1,0,DF,0.25,1.0
Issa Diop,DF,ma Morocco,476,5.3,4,1,7,1,3,0,DF,0.7547169811320755,1.509433962264151
Hiroki Ito,DF,jp Japan,360,4.0,7,0,0,2,0,0,DF,1.75,0.5
Rustam Ashurmatov,DF,uz Uzbekistan,256,2.8,1,0,7,2,0,0,DF,0.35714285714285715,3.2142857142857144
Jarell Quansah,DF,eng England,197,2.2,2,2,0,0,1,1,DF,0.9090909090909091,0.0
Redouane Halhal,DF,ma Morocco,180,2.0,3,5,1,1,1,0,DF,1.5,1.0
Khuliso Mudau,DF,za South Africa,360,4.0,4,10,11,8,0,0,DF,1.0,4.75
Krépin Diatta,DF,sn Senegal,390,4.3,4,6,3,10,0,0,DF,0.9302325581395349,3.0232558139534884
Andy Robertson,DF,sct Scotland,225,2.5,3,1,2,1,1,0,DF,1.2,1.2
Lee Gi-hyuk,DF,kr Korea Republic,270,3.0,2,1,5,4,1,0,DF,0.6666666666666666,3.0
Akam Hashim,DF,iq Iraq,270,3.0,0,3,2,1,0,0,DF,0.0,1.0
Kim Min-jae,DF,kr Korea Republic,245,2.7,2,1,2,2,0,0,DF,0.7407407407407407,1.4814814814814814
Antonio Rüdiger,DF,de Germany,262,2.9,1,0,0,0,0,0,DF,0.3448275862068966,0.0
José Córdoba,DF,pa Panama,270,3.0,5,1,1,3,0,0,DF,1.6666666666666667,1.3333333333333333
Nahuel Molina,DF,ar Argentina,528,5.9,3,0,8,3,0,0,DF,0.5084745762711864,1.8644067796610169
Jack Hendry,DF,sct Scotland,270,3.0,1,3,0,2,0,0,DF,0.3333333333333333,0.6666666666666666
Montassar Talbi,DF,tn Tunisia,270,3.0,1,1,5,2,0,0,DF,0.3333333333333333,2.3333333333333335
Joel Ordóñez,DF,ec Ecuador,225,2.5,1,1,1,5,0,0,DF,0.4,2.4
Ramy Bensebaini,DF,dz Algeria,360,4.0,1,5,7,6,0,0,DF,0.25,3.25
Deveron Fonville,DF,cw Curaçao,241,2.7,2,3,5,3,0,0,DF,0.7407407407407407,2.962962962962963
Axel Tuanzebe,DF,cd Congo DR,360,4.0,3,3,1,2,0,0,DF,0.75,0.75
Jonas Adjetey,DF,gh Ghana,225,2.5,1,0,1,3,0,0,DF,0.4,1.6
Nicolás Tagliafico,DF,ar Argentina,476,5.3,9,16,6,4,0,0,DF,1.6981132075471699,1.8867924528301887
Juan Cáceres,DF,py Paraguay,436,4.8,9,6,5,11,1,0,DF,1.875,3.3333333333333335
Philipp Lienhart,DF,at Austria,180,2.0,0,0,1,1,0,0,DF,0.0,1.0
Harry Souttar,DF,au Australia,390,4.3,8,1,4,0,1,0,DF,1.8604651162790697,0.9302325581395349
Manuel Akanji,DF,ch Switzerland,600,6.7,4,4,6,9,0,0,DF,0.5970149253731343,2.2388059701492535
Chadi Riad,DF,ma Morocco,344,3.8,0,1,4,1,0,0,DF,0.0,1.3157894736842106
