Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%▼,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
es Spain,1,8,8,750,8.3,1,0.12,11,9,90.9,7,1,0,7,87.5,0,0,0,0,
pt Portugal,1,5,5,450,5.0,3,0.60,22,19,86.4,2,2,1,2,40.0,0,0,0,0,
co Colombia,1,5,5,480,5.3,1,0.19,7,6,85.7,3,1,1,4,80.0,0,0,0,0,
gh Ghana,2,4,4,360,4.0,3,0.75,19,16,84.2,1,1,2,2,50.0,0,0,0,0,
ir IR Iran,1,3,3,270,3.0,3,1.00,18,15,83.3,0,3,0,1,33.3,0,0,0,0,
au Australia,2,4,4,390,4.3,3,0.69,17,14,82.4,1,1,2,2,50.0,0,0,0,0,
py Paraguay,1,5,5,480,5.3,6,1.13,29,23,79.3,2,1,2,2,40.0,1,1,0,0,0.0
cv Cabo Verde,1,4,4,390,4.3,5,1.15,23,18,78.3,0,3,1,2,50.0,0,0,0,0,
br Brazil,1,5,5,450,5.0,4,0.80,18,14,77.8,3,1,1,2,40.0,0,0,0,0,
ch Switzerland,1,6,6,600,6.7,6,0.90,26,20,76.9,4,1,1,2,33.3,0,0,0,0,
nl Netherlands,1,4,4,390,4.3,5,1.15,21,16,76.2,2,1,1,0,0.0,0,0,0,0,
sa Saudi Arabia,1,3,3,270,3.0,5,1.67,21,16,76.2,0,2,1,1,33.3,0,0,0,0,
kr Korea Republic,1,3,3,270,3.0,3,1.00,12,9,75.0,1,0,2,0,0.0,0,0,0,0,
cd Congo DR,1,4,4,360,4.0,5,1.25,19,14,73.7,1,1,2,0,0.0,0,0,0,0,
za South Africa,1,4,4,360,4.0,4,1.00,15,11,73.3,1,1,2,1,25.0,0,0,0,0,
mx Mexico,2,5,5,450,5.0,3,0.60,11,8,72.7,4,0,1,4,80.0,1,1,0,0,0.0
ar Argentina,1,8,8,810,9.0,8,0.89,28,20,71.4,7,0,1,2,25.0,0,0,0,0,
jp Japan,1,4,4,360,4.0,5,1.25,17,12,70.6,1,2,1,1,25.0,0,0,0,0,
ma Morocco,1,6,6,570,6.3,6,0.95,20,14,70.0,4,1,1,2,33.3,1,0,1,0,100.0
be Belgium,2,6,6,570,6.3,7,1.11,23,16,69.6,3,2,1,1,16.7,0,0,0,0,
ci Côte d'Ivoire,1,4,4,360,4.0,4,1.00,13,9,69.2,2,0,2,2,50.0,0,0,0,0,
ec Ecuador,1,4,4,360,4.0,4,1.00,13,9,69.2,1,1,2,1,25.0,0,0,0,0,
cw Curaçao,1,3,3,270,3.0,9,3.00,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0
sct Scotland,1,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,
no Norway,2,6,6,570,6.3,11,1.74,31,20,64.5,4,0,2,0,0.0,2,1,1,0,50.0
pa Panama,1,3,3,270,3.0,4,1.33,11,7,63.6,0,0,3,0,0.0,0,0,0,0,
eg Egypt,1,5,5,480,5.3,7,1.31,19,12,63.2,2,2,1,0,0.0,2,0,2,0,100.0
eng England,2,8,8,750,8.3,12,1.44,32,20,62.5,6,1,1,2,25.0,1,1,0,0,0.0
tr Türkiye,1,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,0,
cz Czechia,1,3,3,270,3.0,6,2.00,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0
at Austria,1,4,4,360,4.0,9,2.25,22,13,59.1,1,1,2,0,0.0,1,0,0,1,
hr Croatia,1,4,4,360,4.0,7,1.75,17,10,58.8,2,0,2,1,25.0,2,2,0,0,0.0
se Sweden,2,4,4,360,4.0,10,2.50,24,14,58.3,1,1,2,0,0.0,0,0,0,0,
ht Haiti,1,3,3,270,3.0,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,
sn Senegal,2,4,4,390,4.3,9,2.08,21,12,57.1,1,0,3,1,25.0,1,1,0,0,0.0
fr France,1,8,8,720,8.0,10,1.25,22,12,54.5,6,0,2,4,50.0,3,2,1,0,33.3
qa Qatar,1,3,3,270,3.0,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0
nz New Zealand,1,3,3,270,3.0,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,0,
ca Canada,1,5,5,450,5.0,6,1.20,12,6,50.0,2,1,2,2,40.0,0,0,0,0,
de Germany,1,4,4,390,4.3,5,1.15,10,5,50.0,2,0,2,0,0.0,0,0,0,0,
